document,topicId,distribution,period
306,1,0.8321,0
307,0,0.2108,0
307,1,0.7892,0
308,0,0.2809,0
308,1,0.7191,0
309,0,0.2703,0
309,1,0.7297,0
310,0,0.4597,0
310,1,0.5403,0
311,0,0.351,0
311,1,0.649,0
312,0,0.2673,0
312,1,0.7327,0
313,0,0.5217,0
313,1,0.4783,0
314,0,0.4346,0
314,1,0.5654,0
315,0,0.5076,0
315,1,0.4924,0
316,0,0.2594,0
316,1,0.7406,0
317,0,0.4442,0
317,1,0.5558,0
318,0,0.3246,0
318,1,0.6754,0
319,0,0.3274,0
319,1,0.6726,0
320,0,0.2865,0
320,1,0.7135,0
321,0,0.2919,0
321,1,0.7081,0
322,0,0.4003,0
322,1,0.5997,0
323,0,0.4247,0
323,1,0.5753,0
324,0,0.3067,0
324,1,0.6933,0
325,0,0.1992,0
325,1,0.8008,0
326,0,0.223,0
326,1,0.777,0
327,0,0.1749,0
327,1,0.8251,0
328,0,0.1219,0
328,1,0.8781,0
329,0,0.2921,0
329,1,0.7079,0
330,0,0.2424,0
330,1,0.7576,0
331,0,0.2877,0
331,1,0.7123,0
332,0,0.7557,0
332,1,0.2443,0
333,0,0.2199,0
333,1,0.7801,0
334,0,0.2006,0
334,1,0.7994,0
335,0,0.6716,0
335,1,0.3284,0
336,0,0.5021,0
336,1,0.4979,0
337,0,0.5106,0
337,1,0.4894,0
338,0,0.3872,0
338,1,0.6128,0
339,0,0.5044,0
339,1,0.4956,0
340,0,0.6856,0
340,1,0.3144,0
341,0,0.7441,0
341,1,0.2559,0
342,0,0.5238,0
342,1,0.4762,0
343,0,0.5789,0
343,1,0.4211,0
344,0,0.4706,0
344,1,0.5294,0
345,0,0.6395,0
345,1,0.3605,0
346,0,0.6804,0
346,1,0.3196,0
347,0,0.6813,0
347,1,0.3187,0
348,0,0.5294,0
348,1,0.4706,0
349,0,0.6664,0
349,1,0.3336,0
350,0,0.58,0
350,1,0.42,0
351,0,0.6133,0
351,1,0.3867,0
352,0,0.418,0
352,1,0.582,0
353,0,0.7341,0
353,1,0.2659,0
354,0,0.8456,0
354,1,0.1544,0
355,0,0.3772,0
355,1,0.6228,0
356,0,0.7104,0
356,1,0.2896,0
357,0,0.5263,0
357,1,0.4737,0
358,0,0.9163,0
358,1,0.0837,0
359,0,0.9989,0
359,1,0.0011,0
360,0,0.6905,0
360,1,0.3095,0
361,0,0.6248,0
361,1,0.3752,0
362,0,0.8243,0
362,1,0.1757,0
363,0,0.8404,0
363,1,0.1596,0
364,0,0.7725,0
364,1,0.2275,0
365,0,0.5652,0
365,1,0.4348,0
366,0,0.7825,0
366,1,0.2175,0
367,0,0.6738,0
367,1,0.3262,0
368,0,0.57,0
368,1,0.43,0
369,0,0.7665,0
369,1,0.2335,0
370,0,0.112,0
370,1,0.888,0
371,0,0.3106,0
371,1,0.6894,0
372,0,0.6428,0
372,1,0.3572,0
373,0,0.4496,0
373,1,0.5504,0
374,0,0.6784,0
374,1,0.3216,0
375,0,0.45,0
375,1,0.55,0
376,0,0.5471,0
376,1,0.4529,0
377,0,0.5868,0
377,1,0.4132,0
378,0,0.5,0
378,1,0.5,0
379,0,0.7267,0
379,1,0.2733,0
380,0,0.9469,0
380,1,0.0531,0
381,0,0.5,0
381,1,0.5,0
382,0,0.8322,0
382,1,0.1678,0
383,0,0.7772,0
383,1,0.2228,0
384,0,0.7789,0
384,1,0.2211,0
385,0,0.3285,0
385,1,0.6715,0
386,0,0.774,0
386,1,0.226,0
387,0,0.5714,0
387,1,0.4286,0
388,0,0.2859,0
388,1,0.7141,0
389,0,0.9983,0
389,1,0.0017,0
390,0,0.5714,0
390,1,0.4286,0
391,0,0.6248,0
391,1,0.3752,0
392,0,0.6859,0
392,1,0.3141,0
393,0,0.7087,0
393,1,0.2913,0
394,0,0.5217,0
394,1,0.4783,0
395,0,0.5713,0
395,1,0.4287,0
396,0,0.4119,0
396,1,0.5881,0
397,0,0.5999,0
397,1,0.4001,0
398,0,0.7882,0
398,1,0.2118,0
399,0,0.6362,0
399,1,0.3638,0
400,0,0.7492,0
400,1,0.2508,0
401,0,0.3334,0
401,1,0.6666,0
402,0,0.2394,0
402,1,0.7606,0
403,0,0.3231,0
403,1,0.6769,0
404,0,0.7494,0
404,1,0.2506,0
405,0,0.2802,0
405,1,0.7198,0
